row,meeting,date,order_in_day,symposium,title,lecture_additional_info,speaker_lcsh,speaker_display_name,speaker_position,speaker_institution,speaker_position_2,speaker_institution_2,speaker_2_lcsh,speaker_2_display_name,speaker_2_position,speaker_2_institution,speaker_2_position_2,speaker_2_institution_2,abstract,admin_category,aps_departments,academic_disciplines,lcsh_topic,lcsh_geographic,lcsh_temporal,lcsh_name_personal,lcsh_name_corporate,doi,diglib_url,pid,diglib_url_old,service_file,youtube_url,display_notes,admin_notes,add_speakers,check_physical_program,check_video
291,November 2011,2011-11-19,5,The Future of Food,Climate Justice and Food Security,,"Robinson, Mary",Mary Robinson,"President of Ireland, 1990 – 1997",,"United Nations High Commissioner for Human Rights, 1997 - 2002",,,,,,,,President Robinson gives an impassioned talk on the future of food justice and climate change. She links gender justice with those issues and challenges the US to join the rest of the world in finding solutions.,LECTURE,,"Public Affairs, Public Policy and Public Administration",Food insecurity; Agriculture; Population; Climatic changes,,,,,,https://diglib.amphilsoc.org/islandora/object/video1124obj,video:1124,https://diglib.amphilsoc.org/islandora/object/video:1124,https://diglib.amphilsoc.org/_flysystem/fedora/2024-01/318831-Service%20File.mp4,,,"Additional affiliation: President, Mary Robinson Foundation for Climate Justice. Further reading: http://opac.amphilsoc.org/cgi-bin/koha/opac-detail.pl?biblionumber=239670",Yes,,
291,November 2011,2011-11-19,5,The Future of Food,Climate Justice and Food Security,,"Robinson, Mary",Mary Robinson,President,Mary Robinson Foundation for Climate Justice,,,,,,,,,President Robinson gives an impassioned talk on the future of food justice and climate change. She links gender justice with those issues and challenges the US to join the rest of the world in finding solutions.,LECTURE,,"Public Affairs, Public Policy and Public Administration",Food insecurity; Agriculture; Population; Climatic changes,,,,,,https://diglib.amphilsoc.org/islandora/object/video1124obj,video:1124,https://diglib.amphilsoc.org/islandora/object/video:1124,https://diglib.amphilsoc.org/_flysystem/fedora/2024-01/318831-Service%20File.mp4,,,"Additional affiliation: President, Mary Robinson Foundation for Climate Justice. Further reading: http://opac.amphilsoc.org/cgi-bin/koha/opac-detail.pl?biblionumber=239670",Yes,,
174,November 2008,2008-11-15,4,The Supreme Court and Useful Knowledge,Panel Discussion,,"Ginsburg, Ruth Bader",Ruth Bader Ginsburg,Justice,Supreme Court of the United States,,,"Souter, David H., 1939-2025",David Souter,Justice,Supreme Court of the United States,,,"A discussion between Justices Ginsburg, Souter, Judge Tatel, and Linda Greenhouse on the inner processes of the Supreme Court.",PANEL,,Law,Judicial process--United States,United States. Supreme Court,,,,http://opac.amphilsoc.org/cgi-bin/koha/opac-detail.pl?biblionumber=223457,https://diglib.amphilsoc.org/islandora/object/video974obj,video:974,https://diglib.amphilsoc.org/islandora/object/video:974,,,,,Yes,,
174,November 2008,2008-11-15,4,The Supreme Court and Useful Knowledge,Panel Discussion,,"Greenhouse, Linda Joyce, 1947-",Linda Greenhouse,Knight Distinguished Journalist in Residence and Joseph M. Goldstein Senior Fellow in Law,Yale Law School,,,"Tatel, David S",David Tatel,Circuit Judge,U.S. Court of Appeals for the District of Columbia,,,"A discussion between Justices Ginsburg, Souter, Judge Tatel, and Linda Greenhouse on the inner processes of the Supreme Court.",PANEL,,Law,Judicial process--United States,United States. Supreme Court,,,,http://opac.amphilsoc.org/cgi-bin/koha/opac-detail.pl?biblionumber=223457,https://diglib.amphilsoc.org/islandora/object/video974obj,video:974,https://diglib.amphilsoc.org/islandora/object/video:974,,,,,Yes,,
